bioguide_id,ap_pol_id
B000944,1384
C000127,1805
C000141,1057
C000174,1710
C001070,39527
C001071,51865
F000062,1704
H000338,1758
K000367,51526
M001170,29135
M000639,386
N000032,1711
S000033,1445
S000770,1729
T000464,55866
W000802,40102
B001261,52935
W000437,212
A000360,1421
C000567,690
C001035,1727
C001056,367
D000563,1262
E000285,508
G000359,1408
I000024,1048
M000355,210
M001176,57469
R000122,964
R000584,15344
R000307,1616
S001141,1167
S001181,1073
U000039,577
W000805,1782
G000555,51916
F000457,59608
C001088,60997
M001183,47450
A000055,523
A000367,61070
A000368,61040
B001230,1092
B001269,252
B000213,281
B001270,50853
B000287,94
B001271,61069
B001267,59911
B001257,52981
B001250,618
B000490,1253
B001273,58195
B001243,682
B000574,482
B001277,9548
B000575,1343
B001236,1620
B001255,50418
B000711,1705
B000755,287
B001227,237
B001274,60629
B000911,1242
B001260,53213
B001275,60421
B001248,1017
B001135,452
B001251,34352
C000059,132
C001047,441
C001036,72
C001037,889
C001083,10206
C001072,57849
C001051,1441
C001075,59656
C001066,10546
C000266,391
C001076,59346
C001080,52450
C001084,39864
C001067,32471
C001049,1337
C001061,50040
C000537,1414
C000542,18782
C001077,8993
C001068,41288
C001053,1398
C001062,1860
C001078,59040
C000714,806
C000754,676
C001059,6818
C001069,1231
C000880,81
C001087,60226
C001045,851
C001038,1523
C001063,327
C001048,284
C000984,1064
D000096,1272
D000598,157
D000191,484
D000197,734
D000216,1141
D000612,52493
D000604,1865
D000616,61091
D000610,60128
D000600,878
D000399,292
D000607,50000
D000482,255
D000614,60735
D000615,57891
D000533,665
E000290,57813
E000288,55265
E000291,60533
E000179,1547
E000215,43
F000460,60295
F000030,52
F000458,60983
F000451,51178
F000444,1129
F000459,60964
F000456,59669
F000461,60215
F000445,711
F000449,49989
F000450,1877
F000448,1121
F000372,384
F000455,59885
G000559,7136
G000562,60588
G000548,556
G000563,57239
G000564,60927
G000552,1883
G000289,714
G000565,61002
G000566,60681
G000377,296
G000386,1717
G000546,1342
G000560,53104
G000553,37280
G000410,348
G000568,58574
G000551,1131
G000558,54282
G000535,1267
H001051,59694
H001045,57825
H001052,58831
H001053,29019
H000324,874
H001055,60689
H001046,59492
H001036,277
H001056,61094
H001038,32940
H001047,59590
H000636,304
H001042,1594
H001061,1780
H001034,1206
H000874,1061
H001057,54149
H001058,55092
H001059,53754
H001048,59681
H001060,45695
I000055,835
I000057,1510
I000056,146
J000032,312
J000290,19867
J000292,60428
J000126,350
J000288,59400
J000293,60740
J000174,270
J000255,1362
J000289,57253
K000009,405
K000375,22757
K000376,60917
K000188,1094
K000210,1514
K000362,539
K000378,60166
K000360,1277
K000363,985
L000573,60527
L000564,9174
L000567,56743
L000559,967
L000575,61119
L000560,1468
L000557,1139
L000566,57148
L000174,1760
L000551,28
L000577,60693
L000263,802
L000287,833
L000563,50681
L000554,371
L000565,51537
L000397,49
L000576,61089
L000480,1551
L000491,1396
L000569,55466
L000570,56805
L000571,49396
L000562,890
M000087,1541
M001158,42752
M001179,60542
M000133,888
M001163,51416
M000303,1701
M001165,52561
M001157,38751
M001177,52499
M001143,989
M000404,1482
M000312,883
M001156,35265
M001180,47518
M001159,46291
M001166,50403
M001181,60432
M001137,1521
M000689,856
M000702,1726
M001150,1326
M001144,1240
M001160,48730
M000934,692
M001182,60619
M001153,1799
M001169,52147
M001151,261
M001111,1762
N000002,1525
N000179,113
N000015,882
N000182,1796
N000184,60394
N000147,10370
N000185,60481
N000181,67
O000168,58008
P000601,60439
P000034,375
P000096,378
P000603,60208
P000594,55233
P000588,31918
P000197,24
P000593,9291
P000595,24973
P000258,1333
P000597,59613
P000373,258
P000592,39046
P000598,9302
P000602,60768
P000449,393
P000599,53077
P000523,450
P000591,12873
Q000023,59914
R000053,1543
R000585,60935
R000578,50215
R000146,1741
R000586,60314
R000587,61201
R000588,54388
R000589,60318
R000591,60628
R000582,59572
R000395,208
R000575,1161
R000409,138
R000592,19081
R000583,59163
R000435,867
R000580,53825
R000593,52996
R000486,102
R000487,1215
R000595,53044
R000576,1055
R000515,1263
R000570,1461
R000577,1388
S000030,140
S001168,51603
S001176,54369
S001145,1275
S001150,89
S001180,57501
S000148,1745
S001183,5397
S001189,13031
S001157,1257
S000185,1451
S001184,60345
S000244,1099
S000248,1545
S000250,358
S001185,60639
S000320,1702
S000344,84
S000364,1285
S001154,249
S001148,504
S001165,56705
S000480,1581
S000510,1488
S001172,30010
S000522,1352
S000583,321
S001175,52489
S001187,57257
S001188,53887
S001156,116
T000193,1335
T000460,1115
T000467,58283
T000238,299
T000250,579
T000462,411
T000470,51753
T000469,57037
T000461,257
T000465,59617
T000463,1376
U000031,788
V000128,1066
V000081,1535
V000108,422
V000127,906
W000798,25659
W000791,481
W000799,51531
W000797,11357
W000187,104
W000806,53062
W000800,58883
W000796,13348
W000795,1410
W000808,53086
W000804,57798
W000809,60238
W000810,61021
W000779,1750
Y000062,51522
Y000063,54005
Y000033,513
Y000064,60424
H001041,30423
H001063,7264
A000369,56930
B001278,61555
D000617,61012
M001184,61880
P000604,382
S001194,53354
S000018,1135
F000454,58367
G000556,59898
K000368,59526
T000468,30878
C001095,61872
S001191,5418
L000578,52531
H001068,62063
B001287,60686
C001094,62339
S001193,62343
V000129,62229
B001285,62395
C001097,6688
R000599,62342
T000472,8584
L000579,52455
V000130,52480
P000608,50902
E000293,62534
Y000065,62555
D000621,62557
M001191,62133
F000462,10720
C001093,62270
G000571,62589
D000622,51631
D000619,16089
B001286,61657
W000813,60423
B001284,61698
M001189,53892
B001282,60705
W000817,62244
K000379,60122
D000620,61562
K000383,62418
K000380,62406
N000127,62587
W000812,62594
D000618,61856
H001067,61758
P000606,56030
M001187,61773
H001065,61779
H001069,36149
C001096,62068
F000463,61800
K000382,61213
L000580,59726
M001188,62304
J000294,33006
M001185,62318
C001092,62324
W000815,61892
B001281,57169
J000295,62559
B001283,62234
M001190,62235
P000605,61618
R000598,60544
C001090,61612
R000597,62109
C001098,61815
W000814,61980
O000170,61921
C001091,58407
W000816,62001
V000131,61950
V000132,61957
S001192,61890
K000384,51423
K000381,62296
H001064,61011
P000607,59107
K000385,53697
S000051,600
S001195,62802
B001288,63133
C001101,63056
B001289,52813
J000296,63159
C001102,63274
B001290,63800
N000188,63457
A000370,55929
D000613,60158
G000570,61212
P000609,63532
H001072,63416
W000821,63418
M001197,61631
G000574,64361
D000623,60108
K000387,63641
A000371,62883
L000582,63666
T000474,63684
W000820,12594
B001297,61077
G000575,64137
C001107,64170
C001103,63354
H001071,61020
L000583,63369
A000372,61316
B001294,62159
Y000066,63579
B001295,15698
A000374,64084
G000577,64093
M001196,63945
P000611,60410
M001194,55100
B001293,23088
T000475,64115
D000624,64120
L000581,62943
E000294,60721
Z000018,63730
R000603,35605
A000373,63450
M001193,63460
W000822,31050
H001070,63776
Z000017,59740
R000602,63736
S001196,63754
K000386,63757
R000604,63829
C001106,63501
B001296,63512
R000601,63174
H001073,61403
B001291,41484
L000584,62178
B001292,45543
C001105,63886
N000189,58914
G000576,59087
M001195,22596
J000297,59268
S001198,64262
P000612,63347
E000295,63566
T000476,63304
R000605,580
W000819,63389
S001197,63262
D000625,32620
K000388,64498
L000585,16982
D000626,64698
B000944,1384
C000127,1805
C000141,1057
C000174,1710
C001070,39527
C001071,51865
F000062,1704
H000338,1758
K000367,51526
M001170,29135
M000639,386
N000032,1711
S000033,1445
S000770,1729
T000464,55866
W000802,40102
B001261,52935
W000437,212
A000360,1421
C001035,1727
C001056,367
D000563,1262
E000285,508
G000359,1408
I000024,1048
M000355,210
M001176,57469
R000122,964
R000584,15344
R000307,1616
S001181,1073
U000039,577
W000805,1782
G000555,51916
C001088,60997
M001183,47450
A000055,523
A000367,61070
B001230,1092
B001269,252
B000213,281
B001270,50853
B001267,59911
B001257,52981
B001250,618
B000490,1253
B001273,58195
B001243,682
B000574,482
B001277,9548
B000575,1343
B001236,1620
B000755,287
B001227,237
B001274,60629
B001260,53213
B001275,60421
B001248,1017
B001135,452
B001251,34352
C000059,132
C001047,441
C001037,889
C001072,57849
C001051,1441
C001075,59656
C001066,10546
C000266,391
C001080,52450
C001084,39864
C001067,32471
C001049,1337
C001061,50040
C000537,1414
C001077,8993
C001068,41288
C001053,1398
C001062,1860
C001078,59040
C000754,676
C001059,6818
C001069,1231
C000880,81
C001087,60226
C001038,1523
C001063,327
C001048,284
C000984,1064
D000096,1272
D000598,157
D000191,484
D000197,734
D000216,1141
D000612,52493
D000616,61091
D000610,60128
D000600,878
D000399,292
D000607,50000
D000482,255
D000614,60735
D000615,57891
D000533,665
E000288,55265
E000179,1547
E000215,43
F000444,1129
F000459,60964
F000461,60215
F000449,49989
F000450,1877
F000372,384
F000455,59885
G000559,7136
G000562,60588
G000563,57239
G000552,1883
G000289,714
G000565,61002
G000566,60681
G000377,296
G000386,1717
G000546,1342
G000560,53104
G000553,37280
G000410,348
G000568,58574
G000551,1131
G000558,54282
G000535,1267
H001045,57825
H001052,58831
H001053,29019
H000324,874
H001046,59492
H001036,277
H001056,61094
H001038,32940
H001047,59590
H001042,1594
H001061,1780
H000874,1061
H001058,55092
H001059,53754
H001048,59681
I000055,835
I000056,146
J000032,312
J000290,19867
J000292,60428
J000126,350
J000288,59400
J000293,60740
J000174,270
J000255,1362
J000289,57253
K000009,405
K000375,22757
K000376,60917
K000188,1094
K000210,1514
K000362,539
K000378,60166
L000573,60527
L000564,9174
L000567,56743
L000559,967
L000575,61119
L000560,1468
L000557,1139
L000566,57148
L000174,1760
L000551,28
L000577,60693
L000263,802
L000287,833
L000563,50681
L000554,371
L000565,51537
L000397,49
L000576,61089
L000480,1551
L000491,1396
L000569,55466
L000570,56805
L000562,890
M000087,1541
M001158,42752
M001179,60542
M000133,888
M001163,51416
M001165,52561
M001157,38751
M001177,52499
M001143,989
M000312,883
M001156,35265
M001180,47518
M001159,46291
M001166,50403
M001137,1521
M001160,48730
M000934,692
M001153,1799
M001169,52147
M001111,1762
N000002,1525
N000179,113
N000015,882
N000184,60394
N000147,10370
N000181,67
O000168,58008
P000601,60439
P000034,375
P000096,378
P000603,60208
P000594,55233
P000588,31918
P000197,24
P000593,9291
P000595,24973
P000258,1333
P000597,59613
P000592,39046
P000598,9302
P000449,393
P000599,53077
P000523,450
Q000023,59914
R000585,60935
R000578,50215
R000586,60314
R000588,54388
R000591,60628
R000582,59572
R000395,208
R000575,1161
R000409,138
R000592,19081
R000583,59163
R000435,867
R000580,53825
R000593,52996
R000486,102
R000487,1215
R000595,53044
R000576,1055
R000515,1263
R000570,1461
R000577,1388
S001168,51603
S001176,54369
S001145,1275
S001150,89
S001180,57501
S000148,1745
S001183,5397
S001189,13031
S001157,1257
S000185,1451
S001184,60345
S000244,1099
S000248,1545
S000250,358
S001185,60639
S000320,1702
S000344,84
S000364,1285
S001154,249
S001148,504
S001165,56705
S000510,1488
S001172,30010
S000522,1352
S000583,321
S001175,52489
S001187,57257
S001156,116
T000193,1335
T000460,1115
T000467,58283
T000238,299
T000250,579
T000470,51753
T000469,57037
T000461,257
T000465,59617
T000463,1376
U000031,788
V000128,1066
V000081,1535
V000108,422
W000798,25659
W000791,481
W000799,51531
W000797,11357
W000187,104
W000806,53062
W000800,58883
W000795,1410
W000808,53086
W000804,57798
W000809,60238
W000810,61021
W000779,1750
Y000062,51522
Y000063,54005
Y000033,513
Y000064,60424
H001041,30423
A000369,56930
B001278,61555
D000617,61012
M001184,61880
P000604,382
S001194,53354
F000454,58367
T000468,30878
C001095,61872
S001191,5418
L000578,52531
H001068,62063
B001287,60686
C001094,62339
S001193,62343
V000129,62229
B001285,62395
C001097,6688
R000599,62342
T000472,8584
L000579,52455
V000130,52480
P000608,50902
E000293,62534
Y000065,62555
F000462,10720
C001093,62270
G000571,62589
D000622,51631
D000619,16089
B001286,61657
W000813,60423
B001284,61698
M001189,53892
B001282,60705
W000817,62244
K000379,60122
D000620,61562
K000383,62418
K000380,62406
N000127,62587
W000812,62594
D000618,61856
H001067,61758
P000606,56030
M001187,61773
H001065,61779
H001069,36149
C001096,62068
F000463,61800
K000382,61213
L000580,59726
M001188,62304
J000294,33006
M001185,62318
C001092,62324
W000815,61892
B001281,57169
J000295,62559
M001190,62235
P000605,61618
R000598,60544
C001090,61612
R000597,62109
C001098,61815
W000814,61980
O000170,61921
C001091,58407
W000816,62001
V000131,61950
V000132,61957
S001192,61890
K000384,51423
K000381,62296
H001064,61011
P000607,59107
K000385,53697
S000051,600
S001195,62802
B001288,63133
C001101,63056
B001289,52813
B001290,63800
N000188,63457
A000370,55929
P000609,63532
H001072,63416
W000821,63418
M001197,61631
G000574,64361
D000623,60108
K000387,63641
A000371,62883
L000582,63666
T000474,63684
W000820,12594
B001297,61077
C001107,64170
C001103,63354
H001071,61020
L000583,63369
A000372,61316
B001294,62159
Y000066,63579
B001295,15698
A000374,64084
G000577,64093
M001196,63945
P000611,60410
M001194,55100
B001293,23088
T000475,64115
D000624,64120
L000581,62943
E000294,60721
R000603,35605
M001193,63460
W000822,31050
Z000017,59740
R000602,63736
S001196,63754
K000386,63757
R000604,63829
C001106,63501
B001296,63512
R000601,63174
H001073,61403
B001291,41484
L000584,62178
B001292,45543
C001105,63886
N000189,58914
G000576,59087
M001195,22596
S001198,64262
P000612,63347
E000295,63566
T000476,63304
R000605,580
W000819,63389
S001197,63262
D000625,32620
K000388,64498
L000585,16982
D000626,64698
H001050,53401
C001108,54203
E000296,49768
H001075,64984
K000393,21684
H001076,62653
C001113,65148
S001190,61646
S001170,53539
O000171,52697
B001302,52611
K000389,7547
P000613,65030
C001112,65043
B001300,65073
C001110,20657
B001303,65591
G000578,65653
D000628,65654
R000609,65658
L000586,53059
M001202,65659
S001200,65743
D000627,62128
C001111,10601
M001199,65757
R000607,65668
F000465,64902
K000391,61644
B001299,64756
H001074,64768
M001198,65324
H001077,65612
J000299,65700
B001304,54705
R000606,64804
B001301,65336
M001201,64105
L000587,65484
B001305,64970
B001298,64838
G000583,65116
R000608,65163
K000390,65173
S001201,33896
E000297,57004
F000464,32696
T000478,63809
F000466,64827
S001199,64833
K000392,65268
G000581,64608
A000375,64621
T000477,60321
M001200,45762
G000580,65420
J000298,65298
G000579,65480
C001109,65587
E000298,6662
G000584,65131
N000190,51896
H001078,61015
G000585,65841
C001114,44042
S001203,66096
H001079,28529
L000588,66101
L000589,66086
C001115,66028
B001306,66237
